mzML_file	polarity	time	storage	replicate	time_stamp	injection_idx
20170803_3d_VACUM_c_NEG.mzML	NEG	3d	VACUUM	c	2017-08-04 00:22:21	83
20170803_3d_BAG_a_NEG.mzML	NEG	3d	BAG	a	2017-08-04 00:31:06	84
20170803_1d_VACUM_b_NEG.mzML	NEG	1d	VACUUM	b	2017-08-04 00:42:50	85
20170803_2w_VACUM_c_NEG.mzML	NEG	2w	VACUUM	c	2017-08-04 00:51:34	86
20170803_2d_BAG_c_NEG.mzML	NEG	2d	BAG	c	2017-08-04 01:03:21	87
20170803_2w_4C_BAG_a_NEG.mzML	NEG	2w	4C_BAG	a	2017-08-04 01:12:05	88
20170803_1d_BAG_a_NEG.mzML	NEG	1d	BAG	a	2017-08-04 01:23:50	89
20170803_1w_VACUM_a_NEG.mzML	NEG	1w	VACUUM	a	2017-08-04 01:32:34	90
20170803_QC_11_NEG.mzML	NEG	QC	QC		2017-08-04 01:44:20	91
20170803_6h_RT_a_NEG.mzML	NEG	6h	RT	a	2017-08-04 01:53:05	92
20170803_2w_VACUM_b_NEG.mzML	NEG	2w	VACUUM	b	2017-08-04 02:04:52	93
20170803_1d_RT_b_NEG.mzML	NEG	1d	RT	b	2017-08-04 02:13:36	94
20170803_2d_VACUM_b_NEG.mzML	NEG	2d	VACUUM	b	2017-08-04 02:25:23	95
20170803_3d_BAG_c_NEG.mzML	NEG	3d	BAG	c	2017-08-04 02:34:07	96
20170803_2d_4C_VACUM_c_NEG.mzML	NEG	2d	4C_VACUUM	c	2017-08-04 02:45:50	97
20170803_3d_4C_BAG_a_NEG.mzML	NEG	3d	4C_BAG	a	2017-08-04 02:54:33	98
20170803_2w_RT_a_NEG.mzML	NEG	2w	RT	a	2017-08-04 03:06:21	99
20170803_QC_12_NEG.mzML	NEG	QC	QC		2017-08-04 03:15:05	100
20170803_1w_BAG_a_NEG.mzML	NEG	1w	BAG	a	2017-08-04 03:26:47	101
20170803_3d_VACUM_b_NEG.mzML	NEG	3d	VACUUM	b	2017-08-04 03:35:32	102
20170803_3d_RT_b_NEG.mzML	NEG	3d	RT	b	2017-08-04 03:47:15	103
20170803_2w_RT_b_NEG.mzML	NEG	2w	RT	b	2017-08-04 03:55:59	104
20170803_1d_VACUM_a_NEG.mzML	NEG	1d	VACUUM	a	2017-08-04 04:07:45	105
